dropoutX_batch16,dropout_batch16,dropoutX_batch32,dropout_batch32,dropoutX_batch64,dropout_batch64,,
0.798228124,0.783954905,0.777805236,0.707518865,0.764033681,0.421400607,,100
79.8228124,78.3954905,77.7805236,70.7518865,76.4033681,42.1400607,,
