구분,일일출하량,,,,누계출하량,,,,
,계,농·감협,영농법인,상인단체,계,농·감협,영농법인,상인단체
계,0.00,0.00,0.00,0.00,24714.72,13971.40,7454.57,3288.74
제주시 소계,0.00,0.00,0.00,0.00,1195.00,699.67,323.74,171.58
제주시,0.00,0.00,0.00,0.00,295.68,113.84,31.16,150.68
제주시(구，북군),0.00,0.00,0.00,0.00,899.32,585.83,292.58,20.91
서귀포시 소계,0.00,0.00,0.00,0.00,23519.72,13271.73,7130.83,3117.16
서귀포시,0.00,0.00,0.00,0.00,14840.61,5756.85,6859.91,2223.86
서귀포시(구，남군),0.00,0.00,0.00,0.00,8679.10,7514.88,270.93,893.30
