구분,일일출하량,,,,누계출하량,,,,
,계,농·감협,영농법인,상인단체,계,농·감협,영농법인,상인단체
계,0.00,0.00,0.00,0.00,19980.64,10999.18,6164.96,2816.49
제주시 소계,0.00,0.00,0.00,0.00,1112.65,774.85,317.16,20.64
제주시,0.00,0.00,0.00,0.00,191.54,122.37,48.84,20.33
제주시(구，북군),0.00,0.00,0.00,0.00,921.11,652.48,268.32,0.31
서귀포시 소계,0.00,0.00,0.00,0.00,18867.99,10224.34,5847.80,2795.85
서귀포시,0.00,0.00,0.00,0.00,11935.34,4095.38,5599.84,2240.12
서귀포시(구，남군),0.00,0.00,0.00,0.00,6932.65,6128.96,247.96,555.73
