출하지역,계,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월
계,264141.86,0.00,0.00,30819.18,63845.81,78052.10,65055.31,24407.46,1962.00,0.00,0.00,0.00
서울,69600.16,0.00,0.00,8603.08,16791.46,19547.20,17314.98,6655.75,687.69,0.00,0.00,0.00
부산,19468.95,0.00,0.00,2406.32,4441.42,5035.03,4960.95,2346.60,278.62,0.00,0.00,0.00
대구,20940.82,0.00,0.00,2310.25,4971.56,6284.97,5266.49,1943.15,164.40,0.00,0.00,0.00
인천,10071.52,0.00,0.00,1195.79,2539.88,2785.06,2522.24,909.88,118.67,0.00,0.00,0.00
광주,15827.88,0.00,0.00,1904.76,3302.56,4750.34,4009.03,1808.65,52.53,0.00,0.00,0.00
대전,12131.80,0.00,0.00,1531.63,2924.34,3458.63,2970.27,1210.51,36.43,0.00,0.00,0.00
울산,4844.86,0.00,0.00,577.56,1053.97,1283.11,1319.64,580.63,29.94,0.00,0.00,0.00
경기,50901.75,0.00,0.00,5770.82,13897.13,17191.88,11290.50,2602.67,148.74,0.00,0.00,0.00
강원,3303.48,0.00,0.00,412.79,850.60,1003.60,782.75,241.32,12.41,0.00,0.00,0.00
충북,8078.92,0.00,0.00,872.50,1957.37,2229.91,2148.73,823.87,46.54,0.00,0.00,0.00
충남,7313.03,0.00,0.00,730.72,1813.72,2178.23,1851.14,689.91,49.31,0.00,0.00,0.00
전북,9541.11,0.00,0.00,1004.52,2234.23,2743.22,2536.53,972.80,49.81,0.00,0.00,0.00
전남,7128.64,0.00,0.00,675.95,1424.15,2060.91,1882.60,975.91,109.13,0.00,0.00,0.00
경북,9761.22,0.00,0.00,910.93,2103.55,3138.45,2493.84,1080.36,34.09,0.00,0.00,0.00
경남,15227.72,0.00,0.00,1911.56,3539.86,4361.54,3705.59,1565.44,143.72,0.00,0.00,0.00
