출하지역,계,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월
계,20517.00,8.69,587.29,2048.41,2702.03,3363.71,6971.96,4579.67,255.25,0.00
서울,4878.18,3.03,181.51,536.86,626.78,718.49,1583.02,1139.75,88.74,0.00
부산,2158.73,2.19,92.52,261.78,289.55,347.65,767.89,390.33,6.83,0.00
대구,1866.35,1.56,60.46,177.97,295.92,399.03,624.40,298.19,8.80,0.00
인천,503.41,0.00,4.82,49.77,55.43,46.68,194.53,146.04,6.14,0.00
광주,1118.17,0.98,35.06,123.71,177.54,194.73,381.22,180.08,24.87,0.00
대전,662.63,0.00,5.01,74.18,109.04,92.04,248.55,119.16,14.65,0.00
울산,266.10,0.00,8.62,33.23,42.05,40.18,112.80,27.20,2.02,0.00
경기,5657.10,0.74,125.39,472.93,640.35,963.97,1659.09,1717.42,77.21,0.00
강원,76.47,0.00,0.20,4.16,5.88,7.92,48.67,9.16,0.48,0.00
충북,365.39,0.00,6.46,35.22,42.70,54.81,162.04,59.73,4.43,0.00
충남,249.72,0.00,5.94,25.72,31.26,28.71,114.35,41.54,2.21,0.00
전북,390.71,0.00,3.89,27.24,57.56,64.27,181.26,49.98,6.49,0.00
전남,371.61,0.00,10.05,39.11,61.82,62.46,146.29,51.89,0.00,0.00
경북,455.45,0.10,15.57,44.10,54.80,79.62,204.04,55.74,1.47,0.00
경남,1497.01,0.09,31.81,142.43,211.35,263.13,543.81,293.46,10.93,0.00
