출하지역,계,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월
계,19980.64,11.53,817.72,2175.02,2796.17,3178.15,7082.82,3751.11,162.37,5.76
서울,4908.71,4.71,202.54,491.34,643.46,694.05,1755.28,1015.85,98.11,3.36
부산,2035.48,1.73,92.78,244.82,307.37,317.55,734.97,328.31,7.42,0.54
대구,1919.19,1.98,101.12,232.88,274.60,331.35,701.74,268.67,6.13,0.73
인천,442.83,0.11,8.41,42.03,47.45,48.59,222.66,69.93,3.53,0.12
광주,1025.76,0.00,53.10,131.29,156.30,165.99,411.98,107.10,0.00,0.00
대전,631.60,0.00,20.55,76.19,103.75,110.45,260.51,54.06,6.08,0.00
울산,285.27,1.67,7.30,31.70,37.97,43.29,121.30,32.13,9.92,0.00
경기,5292.27,1.04,242.15,557.41,708.21,902.90,1590.71,1267.51,21.45,0.90
강원,54.81,0.00,0.56,4.34,6.37,7.31,28.15,8.08,0.00,0.00
충북,268.95,0.00,4.94,36.67,50.38,50.51,78.28,47.79,0.38,0.00
충남,241.76,0.00,8.02,27.32,38.16,38.14,91.67,36.37,2.08,0.00
전북,395.00,0.00,9.13,51.63,53.10,68.48,181.53,31.13,0.00,0.00
전남,438.39,0.00,11.53,48.14,64.60,64.43,173.31,75.92,0.47,0.00
경북,431.03,0.00,15.69,51.52,67.02,72.20,173.34,46.50,4.64,0.12
경남,1609.59,0.29,39.91,147.75,237.42,262.90,557.39,361.74,2.18,0.00
