출하지역,계,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월
계,283492.47,0.00,0.00,34531.00,61813.95,94690.79,77697.24,14571.07,188.43,0.00,0.00,0.00
서울,73656.53,0.00,0.00,9104.43,15994.76,25000.43,20108.75,3352.24,95.93,0.00,0.00,0.00
부산,20584.93,0.00,0.00,2859.96,4204.23,6128.14,5978.99,1398.65,14.97,0.00,0.00,0.00
대구,22314.41,0.00,0.00,2575.64,4740.83,7568.97,6067.06,1355.09,6.82,0.00,0.00,0.00
인천,10419.75,0.00,0.00,1364.55,2274.82,3364.82,2883.91,527.99,3.67,0.00,0.00,0.00
광주,16971.70,0.00,0.00,2377.17,3376.38,5768.69,4551.19,891.31,6.97,0.00,0.00,0.00
대전,12689.24,0.00,0.00,1679.71,2819.98,4073.97,3367.57,745.69,2.33,0.00,0.00,0.00
울산,5623.08,0.00,0.00,801.42,1104.33,1709.41,1579.86,417.47,10.59,0.00,0.00,0.00
경기,62039.53,0.00,0.00,6355.47,14820.37,21724.12,16925.57,2190.54,23.46,0.00,0.00,0.00
강원,4060.74,0.00,0.00,549.55,840.56,1324.39,1124.17,221.54,0.53,0.00,0.00,0.00
충북,8699.38,0.00,0.00,1031.05,1826.63,2947.84,2399.54,493.87,0.45,0.00,0.00,0.00
충남,7839.80,0.00,0.00,1048.28,1859.79,2529.34,1993.25,406.19,2.94,0.00,0.00,0.00
전북,8686.09,0.00,0.00,1148.35,1891.23,2827.82,2281.80,530.98,5.91,0.00,0.00,0.00
전남,6814.61,0.00,0.00,671.23,1334.19,2308.11,1907.39,588.35,5.34,0.00,0.00,0.00
경북,8242.63,0.00,0.00,922.43,1649.33,2758.06,2298.96,612.23,1.63,0.00,0.00,0.00
경남,14850.05,0.00,0.00,2041.75,3076.53,4656.68,4229.23,838.97,6.90,0.00,0.00,0.00
