출하지역,계,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월
계,19508.48,14.27,742.91,2132.69,2220.31,2463.72,7028.04,4731.53,175.00,0.00
서울,4734.87,4.39,224.75,513.96,475.29,564.35,1834.83,1043.02,74.28,0.00
부산,1892.28,0.88,101.87,228.18,254.02,275.14,735.20,288.49,8.52,0.00
대구,1754.61,0.36,74.94,228.68,255.74,266.75,631.03,288.02,9.09,0.00
인천,399.19,0.00,5.49,33.65,38.44,37.41,206.36,76.35,1.49,0.00
광주,1042.60,0.32,52.77,113.46,136.24,151.95,429.16,158.69,0.00,0.00
대전,551.48,0.18,21.67,67.81,72.22,78.04,229.41,77.31,4.85,0.00
울산,255.18,0.00,8.41,25.55,23.51,19.87,98.27,79.57,0.00,0.00
경기,5523.41,7.47,147.27,536.17,570.45,630.84,1581.50,1995.88,53.84,0.00
강원,46.73,0.00,1.69,4.20,3.90,4.48,26.54,5.92,0.00,0.00
충북,278.83,0.00,7.63,30.68,33.21,37.65,116.27,52.75,0.65,0.00
충남,225.60,0.00,7.40,16.85,22.42,30.32,102.70,44.71,1.21,0.00
전북,372.92,0.00,11.20,51.82,41.64,48.02,168.89,51.35,0.00,0.00
전남,386.60,0.00,17.64,55.07,52.35,53.83,146.17,61.55,0.00,0.00
경북,411.87,0.00,11.93,42.59,44.51,49.55,164.82,89.32,9.16,0.00
경남,1632.29,0.68,48.25,184.03,196.37,215.53,556.90,418.62,11.92,0.00
