출하지역,계,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월
계,19260.88,6.91,486.67,1833.32,2375.37,3105.35,6622.15,4669.03,162.09,0.00
서울,4807.97,4.59,128.11,491.90,599.76,698.54,1615.66,1185.82,83.58,0.00
부산,2045.28,0.09,77.36,221.05,298.75,381.68,778.12,278.35,9.87,0.00
대구,1869.49,0.81,61.73,206.43,256.73,347.94,651.23,333.61,11.03,0.00
인천,409.29,0.00,2.67,25.10,54.70,71.96,157.39,95.49,1.98,0.00
광주,1057.73,0.09,28.21,103.94,140.10,203.41,352.83,226.89,2.26,0.00
대전,575.77,0.00,13.97,50.85,56.94,91.36,236.01,105.47,21.17,0.00
울산,253.95,0.00,6.00,22.71,25.43,44.31,122.03,32.70,0.78,0.00
경기,4869.82,1.33,98.45,398.93,518.33,702.97,1415.18,1713.92,20.71,0.00
강원,50.14,0.00,0.23,3.37,5.22,4.74,21.27,15.33,0.00,0.00
충북,295.11,0.00,7.22,27.90,31.97,45.97,113.14,66.78,2.13,0.00
충남,253.60,0.00,7.38,23.61,24.31,46.37,101.98,47.35,2.60,0.00
전북,372.70,0.00,2.63,39.37,45.73,73.25,132.22,79.18,0.31,0.00
전남,384.56,0.00,7.93,45.40,61.38,68.74,155.84,45.28,0.00,0.00
경북,449.12,0.00,6.67,26.44,48.43,70.56,199.01,94.89,3.11,0.00
경남,1566.35,0.00,38.12,146.32,207.60,253.54,570.23,347.98,2.56,0.00
