출하지역,계,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월
계,281618.29,0.00,0.00,40447.73,74221.04,93279.14,65565.60,8030.41,74.39,0.00,0.00,0.00
서울,72734.39,0.00,0.00,10859.71,19314.82,24264.27,16131.93,2144.94,18.73,0.00,0.00,0.00
부산,20420.25,0.00,0.00,3458.53,4662.62,6215.73,5346.09,730.31,6.98,0.00,0.00,0.00
대구,22660.60,0.00,0.00,3234.57,5673.36,7744.73,5404.61,595.35,7.98,0.00,0.00,0.00
인천,10985.73,0.00,0.00,1725.37,2939.68,3420.37,2583.72,316.59,0.00,0.00,0.00,0.00
광주,16197.96,0.00,0.00,2271.47,3886.24,5340.56,4132.93,561.28,5.48,0.00,0.00,0.00
대전,12737.74,0.00,0.00,1982.43,3162.57,4030.20,3057.48,491.05,14.02,0.00,0.00,0.00
울산,5457.07,0.00,0.00,847.43,1368.94,1514.51,1409.05,311.50,5.65,0.00,0.00,0.00
경기,59991.86,0.00,0.00,7601.79,18175.53,21260.72,11988.27,955.82,9.73,0.00,0.00,0.00
강원,3635.99,0.00,0.00,429.09,889.83,1266.76,934.58,115.74,0.00,0.00,0.00,0.00
충북,8528.21,0.00,0.00,1217.12,2313.86,2838.51,1956.31,202.42,0.00,0.00,0.00,0.00
충남,7151.65,0.00,0.00,1110.98,1871.11,2271.17,1656.94,241.45,0.00,0.00,0.00,0.00
전북,10528.85,0.00,0.00,1581.43,2726.37,3375.86,2551.88,292.91,0.40,0.00,0.00,0.00
전남,6183.28,0.00,0.00,742.65,1409.96,1954.79,1816.86,258.04,0.98,0.00,0.00,0.00
경북,9446.17,0.00,0.00,1148.93,2038.14,3073.48,2763.37,420.51,1.75,0.00,0.00,0.00
경남,14958.52,0.00,0.00,2236.23,3788.01,4707.49,3831.59,392.49,2.70,0.00,0.00,0.00
