출하지역,계,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월
계,9737.70,0.00,0.00,0.00,0.00,55.55,1637.24,6467.44,1547.76,29.71,0.00,0.00
서울,2640.72,0.00,0.00,0.00,0.00,11.80,612.45,1566.94,444.00,5.53,0.00,0.00
부산,756.20,0.00,0.00,0.00,0.00,6.92,52.96,580.61,115.71,0.00,0.00,0.00
대구,690.96,0.00,0.00,0.00,0.00,5.41,91.88,467.81,125.35,0.50,0.00,0.00
인천,183.33,0.00,0.00,0.00,0.00,0.30,20.39,135.85,26.79,0.00,0.00,0.00
광주,613.79,0.00,0.00,0.00,0.00,1.49,104.91,444.33,63.07,0.00,0.00,0.00
대전,335.98,0.00,0.00,0.00,0.00,0.00,37.26,251.33,47.39,0.00,0.00,0.00
울산,153.65,0.00,0.00,0.00,0.00,0.00,27.49,105.49,20.67,0.00,0.00,0.00
경기,2764.53,0.00,0.00,0.00,0.00,18.61,466.27,1817.00,444.15,18.50,0.00,0.00
강원,34.16,0.00,0.00,0.00,0.00,0.00,0.64,30.72,2.80,0.00,0.00,0.00
충북,141.00,0.00,0.00,0.00,0.00,0.00,10.79,110.22,20.00,0.00,0.00,0.00
충남,163.88,0.00,0.00,0.00,0.00,0.00,30.53,113.29,19.55,0.50,0.00,0.00
전북,112.04,0.00,0.00,0.00,0.00,10.74,8.12,75.37,17.81,0.00,0.00,0.00
전남,266.84,0.00,0.00,0.00,0.00,0.00,31.04,170.73,65.07,0.00,0.00,0.00
경북,314.89,0.00,0.00,0.00,0.00,0.27,99.69,185.31,29.62,0.00,0.00,0.00
경남,565.75,0.00,0.00,0.00,0.00,0.00,42.83,412.45,105.80,4.67,0.00,0.00
