,분류 : 지상,,,,,
,요소 : 습도,,,,,
,검색구분 : 월,,,,,
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1980 ~ 2018  01~12,,,,,
,,,,,,
,,,,,,
일시,평균상대습도(%),최소상대습도(%),,,,
 1998-03,76,32,,,,
 1998-04,89,59,,,,
 1998-05,87,36,,,,
 1998-06,92,50,,,,
 1998-07,92,61,,,,
 1998-08,88,60,,,,
 1998-09,79,45,,,,
 1998-10,79,46,,,,
 1998-11,75,32,,,,
 1998-12,70,36,,,,
 1999-01,72,35,,,,
 1999-02,74,45,,,,
 1999-03,78,34,,,,
 1999-04,79,37,,,,
 1999-05,82,31,,,,
 1999-06,87,41,,,,
 1999-07,91,64,,,,
 1999-08,90,65,,,,
 1999-09,87,41,,,,
 1999-10,73,40,,,,
 1999-11,74,43,,,,
 1999-12,71,46,,,,
 2000-01,77,46,,,,
 2000-02,69,25,,,,
 2000-03,68,19,,,,
 2000-04,71,21,,,,
 2000-05,79,22,,,,
 2000-06,85,25,,,,
 2000-07,86,48,,,,
 2000-08,83,50,,,,
 2000-09,79,28,,,,
 2000-10,74,33,,,,
 2000-11,75,33,,,,
 2000-12,71,37,,,,
 2001-01,76,38,,,,
 2001-02,67,31,,,,
 2001-03,64,26,,,,
 2001-04,70,28,,,,
 2001-05,80,26,,,,
 2001-06,86,41,,,,
 2001-07,87,57,,,,
 2001-08,76,42,,,,
 2001-09,70,42,,,,
 2001-10,69,42,,,,
 2001-11,62,33,,,,
 2001-12,65,40,,,,
 2002-01,66,37,,,,
 2002-02,63,33,,,,
 2002-03,66,15,,,,
 2002-04,74,20,,,,
 2002-05,84,19,,,,
 2002-06,82,31,,,,
 2002-07,92,55,,,,
 2002-08,89,61,,,,
 2002-09,79,45,,,,
 2002-10,72,34,,,,
 2002-11,71,37,,,,
 2002-12,75,34,,,,
 2003-01,72,42,,,,
 2003-02,74,43,,,,
 2003-03,73,35,,,,
 2003-04,77,25,,,,
 2003-05,82,32,,,,
 2003-06,85,37,,,,
 2003-07,92,69,,,,
 2003-08,89,51,,,,
 2003-09,82,45,,,,
 2003-10,66,28,,,,
 2003-11,74,40,,,,
 2003-12,65,30,,,,
 2004-01,66,34,,,,
 2004-02,63,24,,,,
 2004-03,63,20,,,,
 2004-04,71,16,,,,
 2004-05,84,26,,,,
 2004-06,80,27,,,,
 2004-07,88,58,,,,
 2004-08,81,51,,,,
 2004-09,81,42,,,,
 2004-10,67,35,,,,
 2004-11,71,33,,,,
 2004-12,69,39,,,,
 2005-01,67,38,,,,
 2005-02,69,30,,,,
 2005-03,67,35,,,,
 2005-04,73,27,,,,
 2005-05,73,21,,,,
 2005-06,84,49,,,,
 2005-07,87,65,,,,
 2005-08,86,50,,,,
 2005-09,83,45,,,,
 2005-10,71,31,,,,
 2005-11,65,27,,,,
 2005-12,70,34,,,,
 2006-01,69,33,,,,
 2006-02,67,27,,,,
 2006-03,66,19,,,,
 2006-04,73,20,,,,
 2006-05,83,29,,,,
 2006-06,89,43,,,,
 2006-07,91,66,,,,
 2006-08,81,48,,,,
 2006-09,75,42,,,,
 2006-10,74,38,,,,
 2006-11,68,29,,,,
 2006-12,69,37,,,,
 2007-01,66,37,,,,
 2007-02,67,26,,,,
 2007-03,69,34,,,,
 2007-04,66,21,,,,
 2007-05,78,27,,,,
 2007-06,85,54,,,,
 2007-07,86,40,,,,
 2007-08,82,52,,,,
 2007-09,81,42,,,,
 2007-10,71,35,,,,
 2007-11,62,19,,,,
 2007-12,67,36,,,,
 2008-01,69,29,,,,
 2008-02,58,30,,,,
 2008-03,65,25,,,,
 2008-04,69,20,,,,
 2008-05,73,21,,,,
 2008-06,84,26,,,,
 2008-07,84,57,,,,
 2008-08,79,47,,,,
 2008-09,78,49,,,,
 2008-10,68,30,,,,
 2008-11,67,35,,,,
 2008-12,63,33,,,,
 2009-01,65,32,,,,
 2009-02,68,21,,,,
 2009-03,62,20,,,,
 2009-04,68,18,,,,
 2009-05,70,19,,,,
 2009-06,79,30,,,,
 2009-07,83,55,,,,
 2009-08,76,43,,,,
 2009-09,72,41,,,,
 2009-10,60,20,,,,
 2009-11,69,38,,,,
 2009-12,67,34,,,,
 2010-01,68,33,,,,
 2010-02,70,30,,,,
 2010-03,69,25,,,,
 2010-04,67,24,,,,
 2010-05,74,20,,,,
 2010-06,82,36,,,,
 2010-07,90,56,,,,
 2010-08,83,57,,,,
 2010-09,81,42,,,,
 2010-10,74,36,,,,
 2010-11,66,27,,,,
 2010-12,70,35,,,,
 2011-01,69,30,,,,
 2011-02,69,22,,,,
 2011-03,58,27,,,,
 2011-04,73,21,,,,
 2011-05,81,38,,,,
 2011-06,89,54,,,,
 2011-07,86,53,,,,
 2011-08,87,48,,,,
 2011-09,76,28,,,,
 2011-10,68,26,,,,
 2011-11,74,33,,,,
 2011-12,67,39,,,,
 2012-01,63,25,,,,
 2012-02,67,24,,,,
 2012-03,70,30,,,,
 2012-04,75,19,,,,
 2012-05,81,26,,,,
 2012-06,93,61,,,,
 2012-07,96,63,,,,
 2012-08,93,48,,,,
 2012-09,87,47,,,,
 2012-10,74,31,,,,
 2012-11,73,38,,,,
 2012-12,78,38,,,,
 2013-01,73,39,,,,
 2013-02,74,37,,,,
 2013-03,74,36,,,,
 2013-04,69,33,,,,
 2013-05,84,34,,,,
 2013-06,91,59,,,,
 2013-07,88,65,,,,
 2013-08,83,47,,,,
 2013-09,78,35,,,,
