일시,평균기온,최고기온 평균,최저기온 평균,강수량mm
 1992-07,25.2,28.1,22.9,332.1
 1992-08,26.5,29.6,24,352.2
 1992-09,23.6,26.8,20.7,229.3
 1992-10,17.5,21.2,14.3,7.5
 1992-11,12.5,16.4,8.6,56.6
 1992-12,9.6,12.9,6.2,106.3
 1993-01,5.6,8.2,3.2,57.3
 1993-02,7.1,10.8,3.6,156.2
 1993-03,9,12.8,5.5,182.2
 1993-04,13,16.9,9.1,76.4
 1993-05,17.1,20.5,13.9,240.2
 1993-06,20.5,23.7,17.8,287.2
 1993-07,23.2,25.9,21.2,220.7
 1993-08,24.1,26.8,21.8,783
 1993-09,22.3,25.6,19.2,91.5
 1993-10,17.3,20.9,13.9,83.2
 1993-11,14,17.6,10.9,138.7
 1993-12,7.7,11.3,4.3,69.5
 1994-01,6.2,9.7,2.9,69.8
 1994-02,6.8,10,4,68
 1994-03,8,11.6,4.6,72.5
 1994-04,14.9,18.4,11.7,235.9
 1994-05,18.2,21.8,14.6,212.9
 1994-06,20.6,23.9,17.8,342.3
 1994-07,27.9,31,25.1,72.3
 1994-08,27.3,30.1,24.8,445
 1994-09,22.8,26.2,19.6,132.6
 1994-10,18.6,22,15.5,271.1
 1994-11,14.9,18.5,11.6,32.7
 1994-12,9.6,12.4,6.6,41.1
 1995-01,5.9,9,3,52.2
 1995-02,6.7,9.9,3.9,61.2
 1995-03,9.7,13.3,6.2,178.5
 1995-04,12.9,16.4,9.2,141.9
 1995-05,16.6,20.1,12.8,370.7
 1995-06,20,23.1,17.2,204.5
 1995-07,24.9,27.5,22.7,790.3
 1995-08,27.8,30.8,25.2,336.9
 1995-09,22.3,25.3,19.7,132
 1995-10,18.6,22,15.4,103.1
 1995-11,12.2,15.9,8.6,58
 1995-12,6.9,9.8,4.1,31.6
 1996-01,5.9,9.1,3,59.2
 1996-02,4.6,7.7,1.7,38.6
 1996-03,8.7,12.2,5.3,264
 1996-04,11.8,15.3,8.3,166.4
 1996-05,17.6,21.3,13.9,139
 1996-06,21.7,24.6,19.3,401.9
 1996-07,24.7,27.4,22.6,107.5
 1996-08,27.2,30.2,24.5,333.2
 1996-09,23.1,26.6,20,29.5
 1996-10,18.5,22,15.1,194.5
 1996-11,13.5,16.4,10.4,119.8
 1996-12,9.1,12.9,5.6,120.3
 1997-01,5.3,8.4,2.2,23.8
 1997-02,6.9,10.3,3.6,26.6
 1997-03,10.4,13.7,7.1,147.5
 1997-04,14.1,17.6,10.6,277
 1997-05,18.3,21.9,15.2,124.7
 1997-06,22.3,25.6,19.2,218.5
 1997-07,25.5,28.2,23.3,235.1
 1997-08,26.2,28.9,23.7,270
 1997-09,22.8,26,20,46
 1997-10,18.1,22.1,14.4,14
 1997-11,14.5,17.7,11.3,305.5
 1997-12,9.3,12.2,6.4,175.5
 1998-01,6.4,9.3,3.7,252.5
 1998-02,8.9,12.2,5.9,157.9
 1998-03,10,13.4,6.6,151.5
 1998-04,16.1,19.2,13,271.2
 1998-05,18.7,22.1,15.6,116.5
 1998-06,20.9,23.7,18.6,327.5
 1998-07,26.4,29.1,24.2,369.5
 1998-08,27.3,30.2,24.9,257.4
 1998-09,24.4,27.7,21.7,477.5
 1998-10,19.7,22.9,17,70.1
 1998-11,13.7,17.5,9.9,19.8
 1998-12,9.2,12.8,6,10.7
 1999-01,6.8,10.1,3.8,112.8
 1999-02,6.9,10.4,3.8,62.4
 1999-03,10.5,13.9,7.2,178.5
 1999-04,14.2,18,11,87.6
 1999-05,17.7,21.6,14.2,292
 1999-06,21.3,24.5,18.7,295.8
 1999-07,23.4,26.2,21.5,918.2
 1999-08,25,27.7,23.1,666.3
 1999-09,24.5,27.5,22.2,508
 1999-10,18.7,22.5,15.7,80
 1999-11,13.1,16.8,10.1,39.4
 1999-12,8,11.5,4.8,25.8
 2000-01,6.5,9.2,3.6,85.5
 2000-02,4.9,8.1,1.9,16.3
 2000-03,9.6,13.5,5.8,83
 2000-04,13.4,17.6,9.5,60.7
 2000-05,17.2,21.2,13.7,162
 2000-06,21.4,24.4,18.8,167.1
 2000-07,26.3,29.2,23.9,166.2
 2000-08,27.6,30.6,24.9,244.3
 2000-09,22.5,25.5,20,331.2
 2000-10,18.7,22,15.8,213.5
 2000-11,13,16.4,9.9,112
 2000-12,8.8,12.5,5.3,19.8
 2001-01,5.8,9.1,2.7,165
 2001-02,6.8,10.5,3.4,90.2
 2001-03,9.6,13.8,5.8,21.9
 2001-04,14.3,18.3,10.4,203
 2001-05,18.4,22.1,15.4,162.5
 2001-06,21.4,24.3,19,272
 2001-07,26.4,29.7,23.7,273.2
 2001-08,26.8,30.1,24.2,252.5
 2001-09,23.3,26.5,20.7,209.5
 2001-10,19.4,22.7,16.5,176
 2001-11,12.2,15.9,9,67
 2001-12,7.1,9.9,4.5,166
 2002-01,7.6,10.9,4.7,56.6
 2002-02,7.6,11.4,4.1,52.3
 2002-03,11.6,15.3,7.8,101.1
 2002-04,15.1,18.5,11.8,179
 2002-05,17.9,21.2,15.3,200
 2002-06,21.6,25.1,18.5,118.6
 2002-07,24.4,27.3,22.2,495.7
 2002-08,25.6,28.3,23.4,472.5
 2002-09,22.9,26.2,20,143.9
 2002-10,17.9,21.4,14.4,182.8
