강수분석,
자료구분 : 월,
자료형태 : 기본,
지역/지점 : 서귀포,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Feb-07,44.6
Mar-07,96.4
Apr-07,81
May-07,154
Jun-07,144.4
Jul-07,464.2
Aug-07,330
Sep-07,506.1
Oct-07,183
Nov-07,0.2
Dec-07,96.9
Jan-08,63
Feb-08,26.1
Mar-08,123.6
Apr-08,97.5
May-08,209.9
Jun-08,377.3
Jul-08,62.1
Aug-08,178.5
Sep-08,343.2
Oct-08,82.3
Nov-08,67.3
Dec-08,30.6
Jan-09,50.9
Feb-09,157
Mar-09,216.6
Apr-09,183.2
May-09,103.4
Jun-09,393
Jul-09,329.1
Aug-09,158.7
Sep-09,134.3
Oct-09,81.5
Nov-09,180.1
Dec-09,19
Jan-10,64.1
Feb-10,83.1
Mar-10,257.9
Apr-10,324.8
May-10,109.9
Jun-10,387
Jul-10,306
Aug-10,491.2
Sep-10,162.8
Oct-10,125
Nov-10,2.6
Dec-10,78.9
Jan-11,5.2
Feb-11,34.1
Mar-11,91.6
Apr-11,148.4
May-11,125.4
Jun-11,584.5
Jul-11,130.4
Aug-11,246.2
Sep-11,112.2
Oct-11,71
Nov-11,432.5
Dec-11,28.7
Jan-12,5
Feb-12,93
Mar-12,201.5
Apr-12,516.5
May-12,96.1
Jun-12,193.1
Jul-12,196.5
Aug-12,926.7
Sep-12,193.2
Oct-12,33.5
Nov-12,111.4
Dec-12,134.3
Jan-13,40.1
Feb-13,106
Mar-13,59.4
Apr-13,112.5
May-13,160.5
Jun-13,156
Jul-13,18.8
Aug-13,171.3
Sep-13,70
Oct-13,76.9
Nov-13,85.6
Dec-13,29.5
Jan-14,28.5
Feb-14,91
Mar-14,207
Apr-14,198.2
May-14,276
Jun-14,300.9
Jul-14,435
Aug-14,555.1
Sep-14,178.7
Oct-14,52.6
Nov-14,96.1
Dec-14,54.1
Jan-15,80.6
Feb-15,180.7
Mar-15,183.5
Apr-15,248.1
May-15,426.5
Jun-15,271.5
Jul-15,396.8
Aug-15,157.3
Sep-15,295.1
Oct-15,61
Nov-15,215.5
Dec-15,101.5
Jan-16,74.9
Feb-16,143.4
Mar-16,138.1
Apr-16,232.2
May-16,216.6
Jun-16,281.2
Jul-16,203.2
Aug-16,170.9
Sep-16,194.3
Oct-16,433.6
Nov-16,44.6
Dec-16,71.5
Jan-17,49
Feb-17,81.8
Mar-17,36.3
Apr-17,222.5
May-17,59.2
Jun-17,247.4
Jul-17,51.8
Aug-17,231.8
Sep-17,102.8
Oct-17,231.4
Nov-17,6.7
Dec-17,13.3
Jan-18,63.7
Feb-18,10.5
Mar-18,151.6
Apr-18,312
May-18,356.1
Jun-18,304.3
Jul-18,23.2
Aug-18,159.6
Sep-18,473.8
Oct-18,210.2
Nov-18,55.6
Dec-18,45.6
