강수분석,
자료구분 : 월,
지역/지점 : 제주,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Mar-07,86.2
Apr-07,38.1
May-07,50.8
Jun-07,101.9
Jul-07,302.8
Aug-07,231.7
Sep-07,880
Oct-07,167.5
Nov-07,2.6
Dec-07,92.7
Jan-08,156.8
Feb-08,31
Mar-08,77.5
Apr-08,85.7
May-08,135
Jun-08,260.5
Jul-08,61.5
Aug-08,243.7
Sep-08,126.3
Oct-08,29.3
Nov-08,73.3
Dec-08,28.2
Jan-09,61.7
Feb-09,113.7
Mar-09,50.9
Apr-09,94.4
May-09,52.2
Jun-09,155.8
Jul-09,201.1
Aug-09,240.5
Sep-09,113.3
Oct-09,77.4
Nov-09,115.3
Dec-09,28.5
Jan-10,34.6
Feb-10,81.7
Mar-10,161.3
Apr-10,210.5
May-10,33.6
Jun-10,188
Jul-10,263.9
Aug-10,227.6
Sep-10,179.1
Oct-10,120.3
Nov-10,1.8
Dec-10,82.5
Jan-11,15.6
Feb-11,35.1
Mar-11,32.4
Apr-11,51.3
May-11,66.1
Jun-11,398.6
Jul-11,68.3
Aug-11,423.1
Sep-11,47.8
Oct-11,49.1
Nov-11,231.3
Dec-11,59.9
Jan-12,32.9
Feb-12,109.1
Mar-12,171.9
Apr-12,165
May-12,99
Jun-12,104.8
Jul-12,207.3
Aug-12,601.9
Sep-12,499.1
Oct-12,35.7
Nov-12,90.6
Dec-12,131
Jan-13,20.5
Feb-13,60.5
Mar-13,55.2
Apr-13,94.5
May-13,59.7
Jun-13,160.5
Jul-13,14.7
Aug-13,74.2
Sep-13,82.1
Oct-13,113.3
Nov-13,82.1
Dec-13,41.8
Jan-14,50.2
Feb-14,137.5
Mar-14,88.4
Apr-14,52.3
May-14,86.7
Jun-14,65.4
Jul-14,288.7
Aug-14,460.3
Sep-14,93.5
Oct-14,92.9
Nov-14,100.3
Dec-14,47.2
Jan-15,82.4
Feb-15,35.5
Mar-15,80.7
Apr-15,147.9
May-15,150
Jun-15,186.4
Jul-15,329.7
Aug-15,248.6
Sep-15,172.9
Oct-15,31
Nov-15,173.2
Dec-15,90
Jan-16,125.6
Feb-16,40
Mar-16,96.9
Apr-16,121.4
May-16,113
Jun-16,162.7
Jul-16,98.6
Aug-16,75.6
Sep-16,172.3
Oct-16,282.4
Nov-16,71.3
Dec-16,56.6
Jan-17,50.7
Feb-17,39.1
Mar-17,48.2
Apr-17,51.4
May-17,38.5
Jun-17,60.7
Jul-17,35.2
Aug-17,159.5
Sep-17,83.4
Oct-17,162
Nov-17,19.2
Dec-17,25.4
Jan-18,58
Feb-18,86.6
Mar-18,118
Apr-18,112.5
May-18,98.8
Jun-18,211.1
Jul-18,48.7
Aug-18,376.5
Sep-18,187.7
Oct-18,347
Nov-18,28.6
Dec-18,96
