일시,평균기온,최고기온 평균,최저기온 평균,강수량mm,합계전천일사량(MJ/㎡),평균상대습도(%)
 1989-08,25.9,28.9,23.3,126.3,524.67,86
 1989-09,23.2,26.3,20.4,347.2,428.39,85
 1989-10,17.3,21.3,13.5,115.1,500.44,76
 1989-11,12.5,16,9.3,90.8,289.32,74
 1989-12,8.7,12.2,5.6,21.3,221.82,72
 1990-01,5.2,8.4,2.1,118.3,146.15,72
 1990-02,8.6,11.4,5.7,253.2,259.44,77
 1990-03,10.4,13.7,7.1,147.7,483.06,73
 1990-04,13.2,16.7,9.6,198.5,480.95,74
 1990-05,17.8,21.2,14.3,262.5,537.4,82
 1990-06,22,25.2,19.2,356.1,518.75,89
 1990-07,26.3,29.2,23.8,232.8,574.86,91
 1990-08,28.2,31.6,25,303.9,660.71,82
 1990-09,23.8,26.7,20.9,418.7,459.08,84
 1990-10,18.3,21.7,15,116.2,453.59,75
 1990-11,14.8,18.5,11.2,118.7,233.42,78
 1990-12,8.4,12,5.2,40.6,200.55,71
 1991-01,6.6,9.5,3.9,105,222.1,69
 1991-02,5.9,9,2.9,137.9,209.21,69
 1991-03,9.6,12.6,6.7,203.2,341.76,75
 1991-04,13.7,17.1,10.3,115.2,462.99,75
 1991-05,16.9,20.1,13.9,380.1,542.25,79
 1991-06,21.2,23.9,18.9,346,450.73,89
 1991-07,25.1,27.5,23.1,340.3,470.98,93
 1991-08,25,27.8,22.8,260,523.38,85
 1991-09,23.3,26.3,20.6,239.7,399.9,82
 1991-10,17.3,21,13.8,22.9,464.36,72
 1991-11,12.5,16.1,9,43.7,302.8,73
 1991-12,9.2,12.7,6.1,87.6,192.43,76
 1992-01,7.4,10.3,4.4,81.4,186.91,71
 1992-02,6.9,10.3,3.6,59.2,236.43,71
 1992-03,10.5,13.4,7.9,269.2,294.26,78
 1992-04,14.2,18,10.4,161,452.27,78
 1992-05,17.2,21.1,13.7,330.5,562.75,80
 1992-06,20.2,23.5,17.2,136.1,518.71,83
 1992-07,25.2,28.1,22.9,332.1,522.83,91
 1992-08,26.5,29.6,24,352.2,426.05,85
 1992-09,23.6,26.8,20.7,229.3,378.25,80
 1992-10,17.5,21.2,14.3,7.5,347.99,75
 1992-11,12.5,16.4,8.6,56.6,237.44,72
 1992-12,9.6,12.9,6.2,106.3,173.2,73
 1993-01,5.6,8.2,3.2,57.3,134.08,74
 1993-02,7.1,10.8,3.6,156.2,225.54,76
 1993-03,9,12.8,5.5,182.2,356.96,75
 1993-04,13,16.9,9.1,76.4,472.83,74
 1993-05,17.1,20.5,13.9,240.2,505.86,83
 1993-06,20.5,23.7,17.8,287.2,441.09,89
 1993-07,23.2,25.9,21.2,220.7,409.07,87
 1993-08,24.1,26.8,21.8,783,362.44,89
 1993-09,22.3,25.6,19.2,91.5,396.64,78
 1993-10,17.3,20.9,13.9,83.2,353.43,70
 1993-11,14,17.6,10.9,138.7,183.36,76
 1993-12,7.7,11.3,4.3,69.5,122.65,69
 1994-01,6.2,9.7,2.9,69.8,180.55,69
 1994-02,6.8,10,4,68,252.49,72
 1994-03,8,11.6,4.6,72.5,386.02,73
 1994-04,14.9,18.4,11.7,235.9,435.36,83
 1994-05,18.2,21.8,14.6,212.9,511.02,84
 1994-06,20.6,23.9,17.8,342.3,494.61,88
 1994-07,27.9,31,25.1,72.3,682.25,87
 1994-08,27.3,30.1,24.8,445,659.15,87
 1994-09,22.8,26.2,19.6,132.6,591.9,74
 1994-10,18.6,22,15.5,271.1,466.03,71
 1994-11,14.9,18.5,11.6,32.7,347.29,73
 1994-12,9.6,12.4,6.6,41.1,209.23,72
 1995-01,5.9,9,3,52.2,212.92,67
 1995-02,6.7,9.9,3.9,61.2,317.17,69
 1995-03,9.7,13.3,6.2,178.5,425.82,75
 1995-04,12.9,16.4,9.2,141.9,514.12,75
 1995-05,16.6,20.1,12.8,370.7,553.14,77
 1995-06,20,23.1,17.2,204.5,518.1,86
 1995-07,24.9,27.5,22.7,790.3,530.51,91
 1995-08,27.8,30.8,25.2,336.9,601.83,86
 1995-09,22.3,25.3,19.7,132,403.58,75
 1995-10,18.6,22,15.4,103.1,403.88,72
 1995-11,12.2,15.9,8.6,58,311.47,63
 1995-12,6.9,9.8,4.1,31.6,172.6,71
 1996-01,5.9,9.1,3,59.2,192.66,71
 1996-02,4.6,7.7,1.7,38.6,227.09,72
 1996-03,8.7,12.2,5.3,264,349.75,74
 1996-04,11.8,15.3,8.3,166.4,530.37,65
 1996-05,17.6,21.3,13.9,139,534.38,81
 1996-06,21.7,24.6,19.3,401.9,408.31,93
 1996-07,24.7,27.4,22.6,107.5,468.03,90
 1996-08,27.2,30.2,24.5,333.2,479.78,83
 1996-09,23.1,26.6,20,29.5,437.83,75
 1996-10,18.5,22,15.1,194.5,358.22,72
 1996-11,13.5,16.4,10.4,119.8,220.05,67
 1996-12,9.1,12.9,5.6,120.3,191.73,64
 1997-01,5.3,8.4,2.2,23.8,169.74,64
 1997-02,6.9,10.3,3.6,26.6,229.55,66
 1997-03,10.4,13.7,7.1,147.5,382.61,65
