강수분석,
자료구분 : 월,
지역/지점 : 성산,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Feb-08,21.5
Mar-08,120.2
Apr-08,111.2
May-08,200.8
Jun-08,302.5
Jul-08,96.3
Aug-08,396.6
Sep-08,186.4
Oct-08,91
Nov-08,88.3
Dec-08,35.4
Jan-09,67.9
Feb-09,151.6
Mar-09,155.7
Apr-09,150.5
May-09,71.2
Jun-09,217.8
Jul-09,304.8
Aug-09,239.8
Sep-09,162.7
Oct-09,82.1
Nov-09,95.5
Dec-09,53.9
Jan-10,49.4
Feb-10,113.2
Mar-10,259.3
Apr-10,271.9
May-10,106
Jun-10,225.7
Jul-10,251.9
Aug-10,397.4
Sep-10,188.4
Oct-10,113.8
Nov-10,3
Dec-10,106.8
Jan-11,19
Feb-11,140.2
Mar-11,38.5
Apr-11,92.8
May-11,108.9
Jun-11,409.5
Jul-11,60.7
Aug-11,326.5
Sep-11,105
Oct-11,59.8
Nov-11,431.8
Dec-11,73
Jan-12,13.9
Feb-12,104.9
Mar-12,179.3
Apr-12,293.5
May-12,144
Jun-12,208.8
Jul-12,171
Aug-12,619.6
Sep-12,296.6
Oct-12,47
Nov-12,189.3
Dec-12,190.5
Jan-13,37
Feb-13,97.5
Mar-13,64.3
Apr-13,132.8
May-13,154.5
Jun-13,205.1
Jul-13,16.4
Aug-13,222.5
Sep-13,90.1
Oct-13,116.6
Nov-13,145.9
Dec-13,81.3
Jan-14,45.4
Feb-14,170.5
Mar-14,176.7
Apr-14,172
May-14,189.2
Jun-14,182.3
Jul-14,311.6
Aug-14,458
Sep-14,139.9
Oct-14,203.9
Nov-14,114.6
Dec-14,76.8
Jan-15,108.6
Feb-15,97.3
Mar-15,189.9
Apr-15,290.7
May-15,280.9
Jun-15,221.2
Jul-15,381.5
Aug-15,232.2
Sep-15,279.7
Oct-15,54.8
Nov-15,292.7
Dec-15,112.7
Jan-16,167.8
Feb-16,103.1
Mar-16,206.7
Apr-16,294.4
May-16,197.8
Jun-16,241.3
Jul-16,170.2
Aug-16,81.4
Sep-16,276.1
Oct-16,280.2
Nov-16,92.9
