분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 고산,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
Feb-98,8.7,11.6,18.7,6.1,0.2
Mar-98,9.4,12.1,18.6,6.6,2.6
Apr-98,15.5,18.4,27.3,12.5,5.6
May-98,18,21.1,27.2,15.2,12.9
Jun-98,20.6,23.5,26.8,18.2,13.6
Jul-98,25.6,28.3,31,23.9,21.2
Aug-98,26.3,28.8,30.9,24.4,21.8
Sep-98,23.7,27.4,32.1,21.4,19
Oct-98,19.2,22.1,27,17.1,13.2
Nov-98,13.6,16.7,22.5,10.8,5.9
Dec-98,9.1,11.4,19.5,6.8,2.9
Jan-99,6.6,9.2,15.2,4.4,0.8
Feb-99,6.6,9.8,15.3,4.3,-1.3
Mar-99,9.9,13.1,18.8,6.9,1.7
Apr-99,13.3,16.8,22.5,10.7,6.8
May-99,17,20.7,25.4,14.4,12
Jun-99,20.4,23.6,27.5,18.5,16.6
Jul-99,23,26.1,29.7,21.2,18.2
Aug-99,24.3,27.2,30.1,22.5,20.4
Sep-99,24,27.2,29.7,22.1,17.6
Oct-99,18.1,21.2,28.6,15.8,10.8
Nov-99,13,16.4,22.6,10.8,6
Dec-99,8,10.9,15.5,5.6,-0.9
Jan-00,5.9,8.3,17.2,3.4,-0.6
Feb-00,4.3,6.8,10.6,2,-1.4
Mar-00,9,12.5,17.2,6.1,2.1
Apr-00,12.3,16,19.2,9.2,5.1
May-00,16,19.2,25.4,13.3,9.2
Jun-00,20.5,23.1,26,18.3,14.5
Jul-00,25.4,27.8,32.7,23.3,19.5
Aug-00,26.8,29.9,32.2,24.3,22.6
Sep-00,21.9,24.9,30,19.6,15.6
Oct-00,18.1,21.1,27.1,15.3,9.1
Nov-00,12.5,15.6,21.2,9.8,3
Dec-00,8.6,11.7,18.1,5.4,0.5
01-Jan,5.7,8.6,15.5,2.9,-2.7
01-Feb,6.4,10.1,16.6,3.5,-0.8
01-Mar,9,13,20,6,-0.2
01-Apr,13.9,17.7,23.4,10.6,5.7
01-May,17.4,21,25.9,15,11.4
01-Jun,20.5,23.3,26.6,18.4,15.1
01-Jul,25.8,28.6,31.7,23.4,18.3
01-Aug,26.4,29.6,34.3,23.8,17.1
01-Sep,23,27,29.6,19.9,16.6
01-Oct,19.1,22.4,25.9,16.5,13.4
01-Nov,12.6,15.3,20,10.2,5.7
01-Dec,7.3,9.7,16.5,5,1.7
02-Jan,7.6,10.4,18.8,5.1,1.6
02-Feb,7.2,10.3,15.7,4.2,1.5
02-Mar,10.8,14.2,19.4,7.6,3.9
02-Apr,13.7,17.1,22.3,10.9,7
02-May,16.5,19.9,25.2,14.2,11.3
02-Jun,20.9,24.4,28,18.1,14.8
02-Jul,23.5,26.6,31.8,21.3,18.5
02-Aug,24.9,27.7,31.5,22.5,19.3
02-Sep,22.4,26,29.6,19.7,16.5
02-Oct,17.2,20.4,25.6,14.4,7.7
02-Nov,10.8,13.8,19.8,7.7,3.1
02-Dec,8.4,10.9,17.6,6.1,0.9
03-Jan,4.9,7.3,13.3,2.4,-2.6
03-Feb,6.9,9.6,14.8,4.4,0.8
03-Mar,8.5,11.4,16.7,5.7,1.1
03-Apr,13.2,16.9,22.4,10.3,6.1
03-May,17.4,20.8,27.5,14.6,10.5
03-Jun,20.5,23.6,26.8,18.1,13.5
03-Jul,23.1,25.5,29.5,21.2,17.7
03-Aug,25.5,28.3,30.7,23.3,20
03-Sep,23.6,26.7,31.6,21,16.2
03-Oct,17.7,20.9,26.3,14.9,11.1
03-Nov,14.3,17.4,23.9,11.4,5
03-Dec,8,10.2,18.3,5.8,1.6
04-Jan,5,7.5,13,2.8,-4.5
04-Feb,8.1,11.4,19.6,5,0.5
04-Mar,9.6,13,21.4,6.4,-0.2
04-Apr,13.6,17.1,23.4,10.4,5.6
04-May,17.1,20.1,25.2,14.6,9.2
04-Jun,22,25.3,29.5,18.8,14.5
04-Jul,25.1,27.9,33.1,22.9,17.4
04-Aug,27.3,30.8,33.5,24.6,22.2
04-Sep,23.4,26.4,32.2,20.6,16.1
04-Oct,18.5,21.4,28,15.9,11.6
04-Nov,14.1,17.6,22.9,11.5,6.9
04-Dec,9.9,12.7,21.6,7,1
05-Jan,5.1,7.3,13.2,3.2,-0.2
05-Feb,5,7.8,15,2.5,-1.7
05-Mar,7.8,11.1,17.3,5,-1.9
05-Apr,13.9,17.4,22,11,7.3
05-May,16.8,20.4,25,13.8,10.6
05-Jun,21.4,24.7,27.9,18.8,13.6
05-Jul,25.1,27.7,31,22.8,19.2
05-Aug,26.3,29.2,32.6,24.1,20.5
05-Sep,24.3,27.6,31.4,21.9,17.1
05-Oct,18.5,21.5,27.3,15.9,10.3
05-Nov,14.3,17.3,23.6,11.6,7.2
05-Dec,6.2,9.2,19,3.6,-2
06-Jan,7.1,9.7,16.8,4.8,-0.8
06-Feb,5.9,9.1,16.3,3,-1.9
06-Mar,9.2,12.8,17.1,6,-1
06-Apr,12.3,15.8,20.2,9.7,6.8
06-May,15.4,19.2,23.9,12.7,9.7
06-Jun,19.9,23.3,28.3,17.7,13.9
06-Jul,24.3,26.8,30.1,22.5,18.1
06-Aug,27.3,30.7,33,24.9,22.7
06-Sep,21.4,24.4,30.6,18.8,15.6
06-Oct,19.6,23.2,26.2,16.5,12.4
06-Nov,14.8,17.9,22.5,12.1,7.7
06-Dec,9.1,11.7,18.3,6.7,1.2
07-Jan,7,9.3,13.5,4.9,1.3
07-Feb,9,12.4,16.9,5.9,0.4
07-Mar,10.1,13.3,19.8,7.2,0.6
07-Apr,13.2,16.4,21.2,10.4,5.3
07-May,17.4,20.7,24.7,14.8,11.8
07-Jun,20.9,24.1,28.6,18.6,14.6
07-Jul,24.5,27.1,32.7,22.5,19.2
07-Aug,27.5,30.3,32.2,25.1,23.7
07-Sep,24,26.9,30,21.8,19.6
07-Oct,18.8,21.5,28.7,16.3,12.6
07-Nov,12.6,15.4,21.8,10.2,4.8
07-Dec,9.6,12,17.1,7.3,2
08-Jan,6.6,8.6,18,4.6,-0.1
08-Feb,5.1,7.7,13.3,2.9,-1.2
08-Mar,10,13.4,19.5,7.1,4.2
08-Apr,14.1,17.7,22.6,11.4,6.8
08-May,16.8,20.6,25.3,13.9,9.7
08-Jun,20.1,23,25.6,17.9,14
08-Jul,25.8,28.6,31.7,23.5,18.4
08-Aug,26.1,29.1,32.5,23.4,20.6
08-Sep,23.4,26.6,29.9,20.7,14.8
08-Oct,19.4,22.1,26.7,16.8,12.7
08-Nov,13.4,15.8,21.5,10.9,3.8
08-Dec,9.2,11.9,18.5,6.3,0.7
09-Jan,6,8.3,14,3.4,-3.6
09-Feb,8.6,11.3,17.4,6.1,1.1
09-Mar,9.3,12.3,19.4,6.3,2.5
09-Apr,13.1,16.4,21.1,9.9,5.6
09-May,17.3,20.8,24.7,14.5,11
09-Jun,20.7,23.7,27.6,18,14.2
09-Jul,24.2,27,29.2,21.8,18
09-Aug,25.8,28.9,33.2,23.3,19.7
09-Sep,23.1,26.3,29.5,20.7,17.5
09-Oct,19.6,22.5,26.4,17,13.6
09-Nov,12.9,15.7,23.8,10.5,4
09-Dec,8,10.3,16.1,5.4,-0.9
10-Jan,5.9,8.6,16.5,3.5,-2.4
10-Feb,7.6,10.3,18.2,4.9,0.5
10-Mar,9.2,12.4,19.8,5.9,-2.3
10-Apr,11.9,15.3,20.5,9,3.7
10-May,16.8,20.4,23.7,14,10
10-Jun,20.9,24,27,18.6,12.7
10-Jul,25.2,27.9,30.7,23.2,20.1
10-Aug,27.7,30.3,33.5,25.4,23.1
10-Sep,24.1,27,32,22,16.5
10-Oct,18,20.7,26.9,15.5,7.3
10-Nov,12.9,16,19.9,9.7,5
10-Dec,7.9,10.9,19.9,5,-1.3
11-Jan,2.4,4.2,8.4,0.6,-3.6
11-Feb,7.2,10.3,17.8,4.4,-2.3
11-Mar,7.6,10.4,16.6,5.1,1.8
11-Apr,12.3,15.5,18.7,9,6.7
11-May,17.2,20.3,25.1,15,11
11-Jun,20.6,23.2,28.3,18.8,15
11-Jul,26,28.6,32.8,24,19.3
11-Aug,25.3,28.2,33.9,23.4,20.9
11-Sep,23.2,26.3,30.9,20.8,16.9
11-Oct,18.4,21.4,26.8,15.9,9.4
11-Nov,16.3,19.2,26.8,13.9,5.9
11-Dec,7.8,9.7,13.9,5.8,0.9
12-Jan,5.9,7.7,11.3,3.9,-0.4
12-Feb,5.3,8.1,15.1,2.8,-2.3
12-Mar,9.2,11.9,19.2,6.6,1.4
12-Apr,14.2,17.6,23,10.9,5.4
12-May,18.3,22,27,15.4,12.5
12-Jun,21.9,25.4,28.9,19.6,16
12-Jul,25.5,27.9,33.3,23.5,20.4
12-Aug,27.4,30.5,34.2,25.1,20.9
12-Sep,21.9,24.7,28.1,19.6,16.8
