분류: 지상,,
요소 : 강수량,,
검색구분 : 월,,
지역/지점명 : 고산,,
기간 : 1980 ~ 2018년 01 ~ 12월,,
,,
,,
,,
,,
지점명,일시,강수량(mm)
고산,May-08,105.1
고산,Jun-08,252.8
고산,Jul-08,69.1
고산,Aug-08,126.8
고산,Sep-08,81.7
고산,Oct-08,61.6
고산,Nov-08,61.2
고산,Dec-08,22.9
고산,Jan-09,22
고산,Feb-09,118.2
고산,Mar-09,87.5
고산,Apr-09,111.9
고산,May-09,55.8
고산,Jun-09,187
고산,Jul-09,150.8
고산,Aug-09,98.4
고산,Sep-09,74
고산,Oct-09,71
고산,Nov-09,141.6
고산,Dec-09,14.8
고산,Jan-10,29.3
고산,Feb-10,47.1
고산,Mar-10,122
고산,Apr-10,170.9
고산,May-10,49.5
고산,Jun-10,213.5
고산,Jul-10,185.6
고산,Aug-10,324.1
고산,Sep-10,72.6
고산,Oct-10,100.1
고산,Nov-10,1
고산,Dec-10,46.1
고산,Jan-11,6.5
고산,Feb-11,34.6
고산,Mar-11,32.3
고산,Apr-11,86.2
고산,May-11,40.7
고산,Jun-11,263.7
고산,Jul-11,41.8
고산,Aug-11,160.7
고산,Sep-11,3
고산,Oct-11,71
고산,Nov-11,189.5
고산,Dec-11,31.3
고산,Jan-12,6
고산,Feb-12,70.2
고산,Mar-12,116.5
고산,Apr-12,215.2
고산,May-12,51.5
고산,Jun-12,80.6
고산,Jul-12,195.1
고산,Aug-12,303.6
고산,Sep-12,175.2
고산,Oct-12,10.5
고산,Nov-12,89.7
고산,Dec-12,104
고산,Jan-13,20.5
고산,Feb-13,72.2
고산,Mar-13,55
고산,Apr-13,63.5
고산,May-13,95.3
고산,Jun-13,121.4
고산,Jul-13,6.1
고산,Aug-13,77
고산,Sep-13,79.3
고산,Oct-13,21.1
고산,Nov-13,71.5
고산,Dec-13,14.2
고산,Jan-14,40.8
고산,Feb-14,72.9
고산,Mar-14,108.9
고산,Apr-14,71
고산,May-14,184.8
고산,Jun-14,84.7
고산,Jul-14,261.6
고산,Aug-14,238.5
고산,Sep-14,84.3
고산,Oct-14,37.7
고산,Nov-14,52.3
고산,Dec-14,34.1
고산,Jan-15,58.9
고산,Feb-15,62.5
고산,Mar-15,91.3
고산,Apr-15,163.1
고산,May-15,232
고산,Jun-15,225
고산,Jul-15,167.2
고산,Aug-15,84
고산,Sep-15,222.8
고산,Oct-15,21.8
고산,Nov-15,123.5
고산,Dec-15,94.3
고산,Jan-16,70.1
고산,Feb-16,76.7
고산,Mar-16,89
고산,Apr-16,147.3
고산,May-16,143.2
고산,Jun-16,193.7
고산,Jul-16,117.2
고산,Aug-16,76.4
고산,Sep-16,128.9
고산,Oct-16,122.2
고산,Nov-16,50.7
고산,Dec-16,77.7
고산,Jan-17,19.6
고산,Feb-17,39.6
고산,Mar-17,34.2
고산,Apr-17,85.1
고산,May-17,31.1
고산,Jun-17,114.8
고산,Jul-17,23.1
고산,Aug-17,279.7
고산,Sep-17,58.3
고산,Oct-17,152.4
고산,Nov-17,6.7
고산,Dec-17,16.7
고산,Jan-18,47.7
고산,Feb-18,75
고산,Mar-18,101.2
고산,Apr-18,175.6
고산,May-18,256.7
고산,Jun-18,186.7
고산,Jul-18,20.8
고산,Aug-18,127.2
고산,Sep-18,136.6
고산,Oct-18,121.2
고산,Nov-18,42.1
고산,Dec-18,55
