"시도별","종류별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"경기도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경기도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","-","0","0","0","0",
"경기도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"강원도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","","-","0","0","0","0",
"강원도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","-","0","0","0","0",
"강원도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"강원도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"강원도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","","-","0","0","0","0",
"강원도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","-","0","0","0","0",
"충청북도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청북도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청북도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청북도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청북도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청북도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청남도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","","-","0","0","0","0",
"충청남도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청남도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청남도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"충청남도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","","-","0","0","0","0",
"충청남도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라북도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","-","0","0","0","0",
"전라북도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라북도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라북도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라북도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","-","0","0","0","0",
"전라북도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라남도","합계","감귤","","14","14","14","0","1","0","7","7","4","0","2","2","2","0","2","0","9","9","13","1","0","1","1","0","4.5695","6.1719","5.0921",
"전라남도","합계","감귤(성과수)","","14","14","14","0","1","0","0","7","4","0","0","0","0","0","0","0","0","0","0","1","0","","-","0","0","4.2689","2.5058",
"전라남도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라남도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"전라남도","밭","감귤","","14","14","14","0","1","0","7","7","4","0","2","2","2","0","2","0","9","9","13","1","0","1","1","0","4.5695","6.1719","5.0921",
"전라남도","밭","감귤(성과수)","","14","14","14","0","1","0","0","7","4","0","0","0","0","0","0","0","0","0","0","1","0","","-","0","0","4.2689","2.5058",
"경상북도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
